    u1     v1     theta1    u2    v2    theta2
 0.001 -0.046  0.009  0.000  0.000  0.000
 0.046  0.001  0.009  0.046  0.004  0.005
 0.004 -0.046  0.005  0.000  0.000  0.000
 0.001 -0.072  0.004  0.001 -0.046  0.009
 0.072  0.001  0.004  0.072  0.004  0.005
 0.004 -0.072  0.005  0.004 -0.046  0.005
    fx1     fy1     Mz1     fx2     fy2     Mz2
 24.497 -14.944 -21.773 -24.497  14.944 -67.893
  5.376 -27.087   3.393  -5.376 -52.913  99.912
 65.503 -25.056 -62.254 -65.503  25.056 -88.080
 -2.590  -0.320 -19.661   2.590   0.320  18.381
 19.680   2.590  19.661 -19.680 -12.590  41.061
 12.590 -19.680 -41.061 -12.590  19.680 -37.659
